"obs_n";"study_id";"study_name";"effect";"se";"t_stat";"est_agg_city";"est_agg_region";"est_agg_country";"n_obs";"regressands";"reg_df";"study_size";"years_of_schooling";"years_of_experience";"schooling_years";"schooling_levels";"wage_log_hourly";"wage_log_daily";"wage_log_monthly_annual";"data_type_survey";"data_type_national_register";"data_cross_section";"data_panel";"data_avgyear";"wage_earners";"self_employed";"gender_male";"gender_female";"white";"non_white";"ethnicity_caucasian";"ethnicity_other";"married";"unmarried";"subjects_identical_twins";"subjects_non_identical_twins";"subjects_not_twins";"country";"income_high";"income_middle";"med_exp";"min_wage";"freedom_index";"mean_age";"method_ols";"method_gls";"method_selection_fe";"method_fd";"method_fdiv";"method_IV";"instr_sibling_ed";"instr_smoking";"instr_other";"age_control";"age_sq_control";"exp_control";"ethnicity_control";"gender_control";"marriage_control";"firm_char_control";"area_control";"macro_var_control";"impact_factor";"citations";"published";"unpublished";"pub_year";"X"
130;10;"Feigenbaum & Tan (2020)";3.8;0.1;38;0;0;1;191110;4;191105;38;9.18;19.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.93";"6.9999999999999951E-2";0;1;"0.75";"0.25";0.101;0.101;0.798;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
131;10;"Feigenbaum & Tan (2020)";5;0.1;50;0;0;1;38652;1;38650;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;36.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
132;10;"Feigenbaum & Tan (2020)";5.6;0.1;56;0;0;1;38652;4;38647;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;36.6;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
133;10;"Feigenbaum & Tan (2020)";3.6;0.2;18;0;0;1;38652;4;38647;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;36.6;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
134;10;"Feigenbaum & Tan (2020)";4.4;0.2;22;0;0;1;38652;1;38650;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;36.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
135;10;"Feigenbaum & Tan (2020)";3.5;0.3;11.6666666666667;0;0;1;38652;1;38650;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;36.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
136;10;"Feigenbaum & Tan (2020)";4.4;0.1;44;0;0;1;97100;1;97098;38;9.18;19.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.93";"6.9999999999999951E-2";0;1;"0.75";"0.25";0.101;0.101;0.798;"United States";1;0;15113;528;0.794;36.6;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
137;10;"Feigenbaum & Tan (2020)";6.1;0.1;61;0;0;1;97100;4;97095;38;9.18;19.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.93";"6.9999999999999951E-2";0;1;"0.75";"0.25";0.101;0.101;0.798;"United States";1;0;15113;528;0.794;36.6;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
138;10;"Feigenbaum & Tan (2020)";4.7;0.2;23.5;0;0;1;13094;1;13092;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
139;10;"Feigenbaum & Tan (2020)";6.2;0.2;31;0;0;1;13094;4;13089;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
140;10;"Feigenbaum & Tan (2020)";5.6;0.4;14;0;0;1;13094;1;13092;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
141;10;"Feigenbaum & Tan (2020)";5.3;0.2;26.5;0;0;1;8262;4;8257;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
142;10;"Feigenbaum & Tan (2020)";4.1;0.5;8.2;0;0;1;8262;1;8260;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
143;10;"Feigenbaum & Tan (2020)";6.3;0.5;12.6;0;0;1;1644;4;1639;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
144;10;"Feigenbaum & Tan (2020)";4.5;1;4.5;0;0;1;1644;1;1642;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
145;10;"Feigenbaum & Tan (2020)";5.7;0.9;6.33333333333333;0;0;1;312;4;307;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
146;10;"Feigenbaum & Tan (2020)";5.3;2.6;2.03846153846154;0;0;1;312;1;310;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
147;10;"Feigenbaum & Tan (2020)";4.4;0.2;22;0;0;1;38652;1;38650;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
148;10;"Feigenbaum & Tan (2020)";3;0.2;15;0;0;1;38652;1;38650;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
149;10;"Feigenbaum & Tan (2020)";2.9;0.2;14.5;0;0;1;38652;1;38650;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
150;10;"Feigenbaum & Tan (2020)";2.8;0.2;14;0;0;1;38652;1;38650;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
151;10;"Feigenbaum & Tan (2020)";1.9;0.1;19;0;0;1;38652;1;38650;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
152;10;"Feigenbaum & Tan (2020)";4.9;0.2;24.5;0;0;1;10189;4;10184;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
153;10;"Feigenbaum & Tan (2020)";4.9;0.4;12.25;0;0;1;10189;1;10187;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
154;10;"Feigenbaum & Tan (2020)";4.3;0.1;43;0;0;1;25468;4;25463;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
155;10;"Feigenbaum & Tan (2020)";4.1;0.3;13.6666666666667;0;0;1;25468;1;25466;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
156;10;"Feigenbaum & Tan (2020)";4.5;0.2;22.5;0;0;1;12950;4;12945;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
157;10;"Feigenbaum & Tan (2020)";4.4;0.4;11;0;0;1;12950;1;12948;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
158;10;"Feigenbaum & Tan (2020)";4;0.2;20;0;0;1;12518;4;12513;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
159;10;"Feigenbaum & Tan (2020)";3.9;0.4;9.75;0;0;1;12518;1;12516;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
160;10;"Feigenbaum & Tan (2020)";5.5;0.2;27.5;0;0;1;14493;4;14488;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
161;10;"Feigenbaum & Tan (2020)";5;0.3;16.6666666666667;0;0;1;14493;1;14491;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
162;10;"Feigenbaum & Tan (2020)";4.4;0.2;22;0;0;1;7154;4;7149;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
163;10;"Feigenbaum & Tan (2020)";4.3;0.5;8.6;0;0;1;7154;1;7152;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
164;10;"Feigenbaum & Tan (2020)";3.8;0.2;19;0;0;1;11369;4;11364;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0.081;11;1;0;26;"X"
165;10;"Feigenbaum & Tan (2020)";3.6;0.4;9;0;0;1;11369;1;11367;38;9.63;18.5;1;0;0;1;0;0;1;1;0;1940;"1";"0";1;0;"0.96";"4.0000000000000036E-2";0;1;"0.75";"0.25";0.5;0.5;0;"United States";1;0;15113;528;0.794;37.5;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.081;11;1;0;26;"X"
166;11;"Ning (2005)";6.7;0.400957510472771;16.71;1;0;0;2253;9;2243;36;11.94707;18.74519;1;0;0;0;1;1;0;1;0;2002;NA;NA;0.5278;0.4722;"0";"1";0;1;"0.81596000000000002";"0.18403999999999998";0.443;0;0.557;"China";0;1;942;131;0.293;39.50893;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
167;11;"Ning (2005)";6.7;0.396215257244234;16.91;1;0;0;2253;11;2241;36;11.94707;18.74519;1;0;0;0;1;1;0;1;0;2002;NA;NA;0.5278;0.4722;"0";"1";0;1;"0.81596000000000002";"0.18403999999999998";0.443;0;0.557;"China";0;1;942;131;0.293;39.50893;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;1;11;"X"
168;11;"Ning (2005)";8.2;0.592057761732852;13.85;1;0;0;976;9;966;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0.5963;0.4037;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
169;11;"Ning (2005)";2.5;1.48809523809524;1.68;1;0;0;976;1;974;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0.5963;0.4037;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;11;"X"
170;11;"Ning (2005)";8.4;0.594059405940594;14.14;1;0;0;976;11;964;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0.5963;0.4037;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;1;11;"X"
171;11;"Ning (2005)";2.7;1.44385026737968;1.87;1;0;0;976;3;972;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0.5963;0.4037;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;11;"X"
172;11;"Ning (2005)";8.7;0.66412213740458;13.1;1;0;0;976;9;966;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0.5963;0.4037;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
173;11;"Ning (2005)";3.2;1.93939393939394;1.65;1;0;0;976;1;974;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0.5963;0.4037;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;11;"X"
174;11;"Ning (2005)";8.8;0.658682634730539;13.36;1;0;0;976;11;964;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0.5963;0.4037;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;11;"X"
175;11;"Ning (2005)";3.3;1.86440677966102;1.77;1;0;0;976;3;972;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0.5963;0.4037;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;11;"X"
176;11;"Ning (2005)";6.4;0.531120331950207;12.05;1;0;0;1189;9;1179;36;11.96961;18.43837;1;0;0;0;1;1;0;1;0;2002;NA;NA;1;0;"0";"1";0;1;"0.80308000000000002";"0.19691999999999998";0.489;0;0.511;"China";0;1;942;131;0.293;39.11839;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
177;11;"Ning (2005)";6.6;0.537459283387622;12.28;1;0;0;1189;11;1177;36;11.96961;18.43837;1;0;0;0;1;1;0;1;0;2002;NA;NA;1;0;"0";"1";0;1;"0.80308000000000002";"0.19691999999999998";0.489;0;0.511;"China";0;1;942;131;0.293;39.11839;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;1;11;"X"
178;11;"Ning (2005)";7.5;0.805585392051557;9.31;1;0;0;582;9;572;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;1;0;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
179;11;"Ning (2005)";1.2;1.93548387096774;0.62;1;0;0;582;1;580;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;1;0;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;11;"X"
180;11;"Ning (2005)";7.6;0.807651434643996;9.41;1;0;0;582;11;570;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;1;0;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;1;11;"X"
181;11;"Ning (2005)";1.5;1.94805194805195;0.77;1;0;0;582;3;578;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;1;0;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;11;"X"
182;11;"Ning (2005)";7.5;0.816993464052288;9.18;1;0;0;582;9;572;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;1;0;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
183;11;"Ning (2005)";1.1;2.03703703703704;0.54;1;0;0;582;1;580;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;1;0;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;11;"X"
184;11;"Ning (2005)";7.6;0.807651434643996;9.41;1;0;0;582;11;570;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;1;0;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;11;"X"
185;11;"Ning (2005)";1.4;2.05882352941176;0.68;1;0;0;582;3;578;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;1;0;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;11;"X"
186;11;"Ning (2005)";7;0.622222222222222;11.25;1;0;0;1064;9;1054;36;11.9113;19.2321;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.83639999999999992";"0.16360000000000008";0.37;0;0.63;"China";0;1;942;131;0.293;40.1287;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
187;11;"Ning (2005)";6.9;0.618834080717489;11.15;1;0;0;1064;11;1052;36;11.9113;19.2321;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.83639999999999992";"0.16360000000000008";0.37;0;0.63;"China";0;1;942;131;0.293;40.1287;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;1;11;"X"
188;11;"Ning (2005)";9.6;0.897196261682243;10.7;1;0;0;394;9;384;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
189;11;"Ning (2005)";4.5;2.16346153846154;2.08;1;0;0;394;1;392;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;11;"X"
190;11;"Ning (2005)";9.6;0.875113947128532;10.97;1;0;0;394;11;382;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;1;0;0;0;0;0;0;0;0;1;1;1;0;1;1;0;0;0;0;1;0;1;11;"X"
191;11;"Ning (2005)";4.5;2.20588235294118;2.04;1;0;0;394;3;390;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;1;0;1;11;"X"
192;11;"Ning (2005)";10.8;1.15138592750533;9.38;1;0;0;394;9;384;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
193;11;"Ning (2005)";7.5;3.76884422110553;1.99;1;0;0;394;1;392;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;11;"X"
194;11;"Ning (2005)";10.8;1.16254036598493;9.29;1;0;0;394;11;382;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;1;1;1;0;1;1;0;0;0;0;1;0;1;11;"X"
195;11;"Ning (2005)";7.1;3.73684210526316;1.9;1;0;0;394;3;390;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;1;11;"X"
196;11;"Ning (2005)";7.6;0.619396903015485;12.27;1;0;0;488;9;478;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
197;11;"Ning (2005)";2.5;1.21359223300971;2.06;1;0;0;488;10;477;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
198;11;"Ning (2005)";2.2;1.16402116402116;1.89;1;0;0;488;10;477;36;12.22;15.03;1;0;0;0;1;1;0;1;0;2002;NA;NA;0;1;"0";"1";0;1;"0.66";"0.33999999999999997";1;0;0;"China";0;1;942;131;0.293;34.78;0;0;0;0;0;1;1;0;0;1;1;0;0;1;0;0;0;0;0;1;0;1;11;"X"
